train,cicids2017,unsw_nb15,ton_iot,bot_iot,cicddos2019,iotid20,x_iiotid,mqtt_iot_ids2020,cic_iot_2023,wustl_iiot,iot_23
cicids2017,0.999,0.704,0.667,0.666,0.715,0.5,0.712,0.988,0.455,0.707,
unsw_nb15,0.462,0.99,0.184,0.644,0.638,0.519,0.478,0.994,0.245,0.479,
ton_iot,0.598,0.253,1.0,0.676,0.119,0.63,0.773,0.028,0.621,0.043,
bot_iot,0.534,0.536,0.666,1.0,0.557,0.598,0.649,0.017,0.229,0.159,
cicddos2019,0.617,0.587,0.442,0.613,1.0,0.591,0.365,0.981,0.74,0.967,
iotid20,0.532,0.819,0.216,0.456,0.454,0.993,0.596,0.961,0.415,0.506,
x_iiotid,0.653,0.224,0.781,0.139,0.367,0.259,1.0,0.474,0.779,0.011,
mqtt_iot_ids2020,0.687,0.35,0.54,0.622,0.371,0.474,0.398,1.0,0.759,0.283,
cic_iot_2023,0.241,0.367,0.566,0.406,0.302,0.535,0.526,0.981,0.975,0.274,
wustl_iiot,0.464,0.413,0.354,0.82,0.753,0.409,0.509,0.026,0.848,1.0,
iot_23,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
