train,cicids2017,unsw_nb15,ton_iot,bot_iot,cicddos2019,iotid20,x_iiotid,mqtt_iot_ids2020,cic_iot_2023,wustl_iiot
cicids2017,0.317,-0.663,-0.42,-0.397,-0.292,-0.629,-0.494,-0.667,-0.667,-0.388
unsw_nb15,-0.272,0.276,-0.418,-0.855,0.006,-0.641,-0.241,-0.007,-0.667,-0.313
ton_iot,-0.003,-0.376,0.333,-0.676,-0.494,-0.017,0.059,0.0,-0.061,-0.56
bot_iot,0.011,0.044,-0.002,0.0,0.014,-0.032,0.01,-0.65,-0.335,-0.001
cicddos2019,-0.515,0.016,-0.164,-0.111,0.332,-0.121,-0.276,-0.665,-0.417,-0.483
iotid20,0.004,0.018,-0.018,-0.001,-0.025,0.287,-0.024,0.177,-0.095,-0.004
x_iiotid,-0.224,-0.461,0.077,-0.999,-0.589,-0.468,0.331,-0.001,0.023,-0.663
mqtt_iot_ids2020,-0.169,-0.652,-0.626,-0.223,-0.456,-0.365,-0.664,0.332,-0.23,-0.39
cic_iot_2023,0.004,-0.395,-0.238,0.0,-0.043,-0.104,-0.319,-0.001,0.253,0.0
wustl_iiot,-0.513,-0.102,-0.065,-0.629,0.044,-0.094,-0.153,0.0,0.091,0.331
