train,test,in_domain,roc_auc,ap,mcc,bal_acc,f1,f1_trivial,f1_lift,acc,recall,prevalence,fpr
cicids2017,cicids2017,True,0.9989,0.9987,0.9677,0.9839,0.9839,0.6667,0.3172,0.9839,0.9869,0.5,0.0192
cicids2017,unsw_nb15,False,0.7041,0.6329,0.0215,0.5007,0.0032,0.6667,-0.6635,0.5007,0.0016,0.5,0.0003
cicids2017,ton_iot,False,0.6673,0.7,0.2208,0.5608,0.2462,0.6667,-0.4204,0.5608,0.1435,0.5,0.0219
cicids2017,bot_iot,False,0.6664,0.9995,0.0242,0.7042,0.603,0.9996,-0.3966,0.4321,0.4316,0.9991,0.0233
cicids2017,cicddos2019,False,0.7153,0.7127,0.2833,0.5987,0.3745,0.6667,-0.2922,0.5987,0.2402,0.5,0.0427
cicids2017,iotid20,False,0.5002,0.5004,-0.1037,0.4795,0.0373,0.6667,-0.6294,0.4795,0.0202,0.5,0.0611
cicids2017,x_iiotid,False,0.7116,0.7393,0.1872,0.5421,0.1726,0.6667,-0.4941,0.5421,0.0955,0.5,0.0113
cicids2017,mqtt_iot_ids2020,False,0.988,0.9924,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
cicids2017,cic_iot_2023,False,0.4549,0.4918,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
cicids2017,wustl_iiot,False,0.7067,0.7563,0.2861,0.5792,0.279,0.6667,-0.3877,0.5792,0.1628,0.5,0.0044
cicids2017,iot_23,False,,,,,0.0,0.0,0.0,0.5101,0.0,0.0,0.4899
unsw_nb15,cicids2017,False,0.4622,0.5398,-0.0755,0.4632,0.3942,0.6667,-0.2725,0.4632,0.3492,0.5,0.4228
unsw_nb15,unsw_nb15,True,0.9903,0.9909,0.8877,0.9435,0.9424,0.6667,0.2757,0.9435,0.9237,0.5,0.0367
unsw_nb15,ton_iot,False,0.1842,0.3533,-0.5389,0.2309,0.2491,0.6667,-0.4176,0.2309,0.2552,0.5,0.7934
unsw_nb15,bot_iot,False,0.6437,0.9989,-0.0093,0.4575,0.1444,0.9996,-0.8552,0.0785,0.0778,0.9991,0.1628
unsw_nb15,cicddos2019,False,0.638,0.6888,0.2786,0.6357,0.6726,0.6667,0.0059,0.6357,0.7484,0.5,0.4769
unsw_nb15,iotid20,False,0.5191,0.5567,0.0271,0.5028,0.026,0.6667,-0.6407,0.5028,0.0133,0.5,0.0078
unsw_nb15,x_iiotid,False,0.4784,0.4686,-0.0152,0.4926,0.4257,0.6667,-0.241,0.4926,0.3761,0.5,0.3909
unsw_nb15,mqtt_iot_ids2020,False,0.9941,0.9931,0.5704,0.7459,0.6598,0.6667,-0.0069,0.7459,0.4927,0.5,0.0008
unsw_nb15,cic_iot_2023,False,0.2452,0.3774,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
unsw_nb15,wustl_iiot,False,0.4791,0.6819,0.335,0.6052,0.3537,0.6667,-0.313,0.6052,0.2161,0.5,0.0057
unsw_nb15,iot_23,False,,,,,0.0,0.0,0.0,0.5031,0.0,0.0,0.4969
ton_iot,cicids2017,False,0.5976,0.6065,0.1663,0.5684,0.664,0.6667,-0.0027,0.5684,0.853,0.5,0.7162
ton_iot,unsw_nb15,False,0.2527,0.3717,-0.3605,0.3204,0.2906,0.6667,-0.376,0.3204,0.2784,0.5,0.6377
ton_iot,ton_iot,True,1.0,1.0,0.9987,0.9994,0.9994,0.6667,0.3327,0.9994,0.9992,0.5,0.0005
ton_iot,bot_iot,False,0.6764,0.9993,-0.0047,0.4686,0.3234,0.9996,-0.6762,0.1934,0.1929,0.9991,0.2558
ton_iot,cicddos2019,False,0.1195,0.3521,-0.6501,0.1749,0.1723,0.6667,-0.4944,0.1749,0.1717,0.5,0.8218
ton_iot,iotid20,False,0.6298,0.6923,0.1408,0.5605,0.6499,0.6667,-0.0167,0.5605,0.8159,0.5,0.6948
ton_iot,x_iiotid,False,0.7727,0.8028,0.4005,0.6951,0.726,0.6667,0.0593,0.6951,0.8077,0.5,0.4174
ton_iot,mqtt_iot_ids2020,False,0.0282,0.336,0.02,0.5004,0.6668,0.6667,0.0002,0.5004,1.0,0.5,0.9992
ton_iot,cic_iot_2023,False,0.621,0.7236,0.0054,0.5023,0.606,0.6667,-0.0607,0.5023,0.7655,0.5,0.7609
ton_iot,wustl_iiot,False,0.0429,0.3704,-0.8762,0.0639,0.1066,0.6667,-0.56,0.0639,0.1117,0.5,0.9839
ton_iot,iot_23,False,,,,,0.0,0.0,0.0,0.1427,0.0,0.0,0.8573
bot_iot,cicids2017,False,0.5343,0.5353,0.1571,0.5252,0.6778,0.6667,0.0111,0.5252,0.9988,0.5,0.9483
bot_iot,unsw_nb15,False,0.5363,0.5324,0.307,0.6122,0.7109,0.6667,0.0442,0.6122,0.9533,0.5,0.7288
bot_iot,ton_iot,False,0.6658,0.6631,-0.0203,0.4986,0.6647,0.6667,-0.002,0.4986,0.994,0.5,0.9968
bot_iot,bot_iot,True,1.0,1.0,0.9883,0.9884,1.0,0.9996,0.0004,1.0,1.0,0.9991,0.0233
bot_iot,cicddos2019,False,0.5569,0.6479,0.178,0.5308,0.6806,0.6667,0.0139,0.5308,1.0,0.5,0.9384
bot_iot,iotid20,False,0.5983,0.6029,0.0525,0.5205,0.6347,0.6667,-0.032,0.5205,0.8331,0.5,0.7921
bot_iot,x_iiotid,False,0.6485,0.6857,0.1446,0.5351,0.6765,0.6667,0.0098,0.5351,0.9722,0.5,0.902
bot_iot,mqtt_iot_ids2020,False,0.0169,0.4186,-0.9823,0.0089,0.0171,0.6667,-0.6496,0.0089,0.0172,0.5,0.9994
bot_iot,cic_iot_2023,False,0.2286,0.4378,-0.6561,0.1991,0.332,0.6667,-0.3346,0.1991,0.3981,0.5,1.0
bot_iot,wustl_iiot,False,0.1587,0.4902,-0.0131,0.4993,0.6656,0.6667,-0.0011,0.4993,0.9966,0.5,0.998
bot_iot,iot_23,False,,,,,0.0,0.0,0.0,0.0002,0.0,0.0,0.9998
cicddos2019,cicids2017,False,0.6169,0.6055,0.1328,0.53,0.1512,0.6667,-0.5154,0.53,0.0838,0.5,0.0238
cicddos2019,unsw_nb15,False,0.5869,0.5355,0.2768,0.6305,0.6831,0.6667,0.0164,0.6305,0.7964,0.5,0.5354
cicddos2019,ton_iot,False,0.4417,0.4547,-0.0807,0.4602,0.5027,0.6667,-0.164,0.4602,0.5455,0.5,0.625
cicddos2019,bot_iot,False,0.6132,0.9994,0.0143,0.5975,0.8884,0.9996,-0.1112,0.7992,0.7996,0.9991,0.6047
cicddos2019,cicddos2019,True,1.0,1.0,0.9964,0.9982,0.9982,0.6667,0.3315,0.9982,0.9976,0.5,0.0012
cicddos2019,iotid20,False,0.591,0.5453,0.058,0.5289,0.546,0.6667,-0.1207,0.5289,0.5665,0.5,0.5086
cicddos2019,x_iiotid,False,0.3651,0.412,-0.2286,0.3857,0.3903,0.6667,-0.2764,0.3857,0.3932,0.5,0.6218
cicddos2019,mqtt_iot_ids2020,False,0.9812,0.9438,0.0154,0.5003,0.0014,0.6667,-0.6653,0.5003,0.0007,0.5,0.0001
cicddos2019,cic_iot_2023,False,0.74,0.7345,0.1842,0.5539,0.2496,0.6667,-0.4171,0.5539,0.1484,0.5,0.0406
cicddos2019,wustl_iiot,False,0.9672,0.96,0.2193,0.549,0.1839,0.6667,-0.4828,0.549,0.1016,0.5,0.0037
cicddos2019,iot_23,False,,,,,0.0,0.0,0.0,0.2917,0.0,0.0,0.7083
iotid20,cicids2017,False,0.532,0.5062,0.0885,0.5116,0.6706,0.6667,0.0039,0.5116,0.994,0.5,0.9708
iotid20,unsw_nb15,False,0.8191,0.7944,0.2022,0.5393,0.6846,0.6667,0.0179,0.5393,1.0,0.5,0.9214
iotid20,ton_iot,False,0.2164,0.3589,0.0224,0.5066,0.6488,0.6667,-0.0178,0.5066,0.9116,0.5,0.8985
iotid20,bot_iot,False,0.4558,0.9992,-0.0011,0.4993,0.9989,0.9996,-0.0007,0.9978,0.9987,0.9991,1.0
iotid20,cicddos2019,False,0.4536,0.4639,-0.0486,0.4877,0.6419,0.6667,-0.0248,0.4877,0.9184,0.5,0.9431
iotid20,iotid20,True,0.9928,0.9927,0.9081,0.9541,0.9539,0.6667,0.2872,0.9541,0.95,0.5,0.0419
iotid20,x_iiotid,False,0.5957,0.5401,0.0026,0.5008,0.6423,0.6667,-0.0244,0.5008,0.8963,0.5,0.8948
iotid20,mqtt_iot_ids2020,False,0.9607,0.9623,0.6778,0.8148,0.8437,0.6667,0.1771,0.8148,1.0,0.5,0.3704
iotid20,cic_iot_2023,False,0.4151,0.4727,-0.1854,0.4305,0.572,0.6667,-0.0947,0.4305,0.761,0.5,0.9001
iotid20,wustl_iiot,False,0.5061,0.7172,-0.0682,0.4953,0.6624,0.6667,-0.0043,0.4953,0.9904,0.5,0.9999
iotid20,iot_23,False,,,,,0.0,0.0,0.0,0.0065,0.0,0.0,0.9935
x_iiotid,cicids2017,False,0.6534,0.6441,0.2214,0.5931,0.4426,0.6667,-0.2241,0.5931,0.323,0.5,0.1367
