,precision,recall,f1-score,support
benign,0.879245283018868,1.0,0.9357429718875502,233.0
portscan,1.0,0.9997116493656286,0.9998558038932949,3468.0
synflood,1.0,1.0,1.0,16309.0
icmpflood,1.0,1.0,1.0,330.0
udpflood,0.9990526378115934,1.0,0.9995260944256856,16873.0
ssh_bruteforce,1.0,0.9445727482678984,0.9714964370546318,866.0
slowloris,1.0,1.0,1.0,379.0
mirai,1.0,1.0,1.0,2606.0
xmas_scan,0.9996719160104987,1.0,0.9998359310910583,3047.0
mqtt_flood,1.0,1.0,1.0,3373.0
accuracy,0.9989680734563221,0.9989680734563221,0.9989680734563221,0.9989680734563221
macro avg,0.987796983684096,0.9944284397633527,0.9906457238352221,47484.0
weighted avg,0.9990497775423806,0.9989680734563221,0.9989753986210115,47484.0
