,precision,recall,f1-score,support
benign,1.0,0.9993686868686869,0.9996842437638144,1584.0
portscan,1.0,1.0,1.0,882.0
synflood,1.0,1.0,1.0,1473.0
icmpflood,1.0,1.0,1.0,127.0
udpflood,0.9995265151515151,1.0,0.9997632015155103,2111.0
ssh_bruteforce,1.0,1.0,1.0,224.0
slowloris,1.0,1.0,1.0,423.0
mirai,1.0,1.0,1.0,1172.0
xmas_scan,1.0,1.0,1.0,1616.0
mqtt_flood,1.0,1.0,1.0,793.0
accuracy,0.9999038923594425,0.9999038923594425,0.9999038923594425,0.9999038923594425
macro avg,0.9999526515151516,0.9999368686868687,0.9999447445279325,10405.0
weighted avg,0.9999039378649541,0.9999038923594425,0.9999038885652208,10405.0
