held_out,n_labels,auc,f1,mcc,oracle_f1,trivial_f1,oracle_lift,degenerate,recovered,note
cicddos2019,0,0.9272,0.5605,0.4281,0.9048,0.6667,0.2382,False,0.0,default threshold 0.5
cicddos2019,10,0.9272,0.868,0.733,0.9048,0.6667,0.2382,False,0.8929,
cicddos2019,25,0.9272,0.8804,0.7565,0.9048,0.6667,0.2382,False,0.929,
cicddos2019,50,0.9272,0.8928,0.7811,0.9048,0.6667,0.2382,False,0.9652,
cicddos2019,100,0.9272,0.8962,0.7884,0.9048,0.6667,0.2382,False,0.975,
cicddos2019,250,0.9272,0.9037,0.8049,0.9048,0.6667,0.2382,False,0.9968,
cicddos2019,500,0.9272,0.9039,0.8049,0.9048,0.6667,0.2382,False,0.9973,
cicddos2019,1000,0.9272,0.9033,0.8036,0.9048,0.6667,0.2382,False,0.9954,
iotid20,0,0.6061,0.1348,0.0801,0.6667,0.6667,0.0,True,0.0,default threshold 0.5
iotid20,10,0.6061,0.6214,0.0546,0.6667,0.6667,0.0,True,0.915,
iotid20,25,0.6061,0.6254,0.0596,0.6667,0.6667,0.0,True,0.9224,
iotid20,50,0.6061,0.6282,0.0273,0.6667,0.6667,0.0,True,0.9277,
iotid20,100,0.6061,0.6608,-0.0579,0.6667,0.6667,0.0,True,0.9889,
iotid20,250,0.6061,0.6619,-0.0572,0.6667,0.6667,0.0,True,0.991,
iotid20,500,0.6061,0.665,-0.0331,0.6667,0.6667,0.0,True,0.9969,
iotid20,1000,0.6061,0.6661,-0.0192,0.6667,0.6667,0.0,True,0.9989,
x_iiotid,0,0.7061,0.6667,0.3206,0.6885,0.6667,0.0218,False,0.0,default threshold 0.5
x_iiotid,10,0.7061,0.6474,0.2497,0.6885,0.6667,0.0218,False,-0.886,
x_iiotid,25,0.7061,0.6566,0.2141,0.6885,0.6667,0.0218,False,-0.4646,
x_iiotid,50,0.7061,0.6673,0.237,0.6885,0.6667,0.0218,False,0.0263,
x_iiotid,100,0.7061,0.6691,0.264,0.6885,0.6667,0.0218,False,0.1097,
x_iiotid,250,0.7061,0.6765,0.2533,0.6885,0.6667,0.0218,False,0.4495,
x_iiotid,500,0.7061,0.6847,0.2012,0.6885,0.6667,0.0218,False,0.8261,
x_iiotid,1000,0.7061,0.6831,0.2297,0.6885,0.6667,0.0218,False,0.7508,
mqtt_iot_ids2020,0,0.9872,0.9429,0.8972,0.9913,0.6667,0.3246,False,0.0,default threshold 0.5
mqtt_iot_ids2020,10,0.9872,0.9817,0.9633,0.9913,0.6667,0.3246,False,0.8026,
mqtt_iot_ids2020,25,0.9872,0.9812,0.9622,0.9913,0.6667,0.3246,False,0.7915,
mqtt_iot_ids2020,50,0.9872,0.9844,0.9689,0.9913,0.6667,0.3246,False,0.8591,
mqtt_iot_ids2020,100,0.9872,0.9879,0.976,0.9913,0.6667,0.3246,False,0.9311,
mqtt_iot_ids2020,250,0.9872,0.9896,0.9794,0.9913,0.6667,0.3246,False,0.9659,
mqtt_iot_ids2020,500,0.9872,0.9905,0.9812,0.9913,0.6667,0.3246,False,0.9834,
mqtt_iot_ids2020,1000,0.9872,0.9907,0.9816,0.9913,0.6667,0.3246,False,0.9876,
wustl_iiot,0,0.3138,0.3368,-0.5835,0.6667,0.6667,0.0,True,0.0,default threshold 0.5
wustl_iiot,10,0.3138,0.6563,-0.0239,0.6667,0.6667,0.0,True,0.9685,
wustl_iiot,25,0.3138,0.6317,0.0505,0.6667,0.6667,0.0,True,0.894,
wustl_iiot,50,0.3138,0.6434,0.0336,0.6667,0.6667,0.0,True,0.9294,
wustl_iiot,100,0.3138,0.6656,-0.0032,0.6667,0.6667,0.0,True,0.9968,
wustl_iiot,250,0.3138,0.6659,0.0008,0.6667,0.6667,0.0,True,0.9976,
wustl_iiot,500,0.3138,0.666,0.0013,0.6667,0.6667,0.0,True,0.998,
wustl_iiot,1000,0.3138,0.6664,0.0077,0.6667,0.6667,0.0,True,0.999,
iot_23,0,0.1946,0.6779,0.1509,0.6809,0.6667,0.0142,True,0.0,default threshold 0.5
iot_23,10,0.1946,0.6484,0.0474,0.6809,0.6667,0.0142,True,-9.67,
iot_23,25,0.1946,0.6704,0.116,0.6809,0.6667,0.0142,True,-2.4466,
iot_23,50,0.1946,0.67,0.1249,0.6809,0.6667,0.0142,True,-2.5825,
iot_23,100,0.1946,0.6744,0.1381,0.6809,0.6667,0.0142,True,-1.1235,
iot_23,250,0.1946,0.6782,0.1566,0.6809,0.6667,0.0142,True,0.0976,
iot_23,500,0.1946,0.6785,0.1606,0.6809,0.6667,0.0142,True,0.2205,
iot_23,1000,0.1946,0.6795,0.1664,0.6809,0.6667,0.0142,True,0.556,
