,precision,recall,f1-score,support
BENIGN,0.9998960613901237,0.9953287178188942,0.9976071619661208,454265.0
Bot,0.19626639757820383,0.9948849104859335,0.3278550358196376,391.0
DDoS,1.0,0.99933606717438,0.9996679233488953,25605.0
DoS GoldenEye,0.9927325581395349,0.9951432734337057,0.9939364540383216,2059.0
DoS Hulk,0.9927717602382082,0.9996958174904943,0.9962217579110327,46025.0
DoS Slowhttptest,0.9918181818181818,0.9918181818181818,0.9918181818181818,1100.0
DoS slowloris,0.9956933677863911,0.997411561691113,0.996551724137931,1159.0
FTP-Patator,1.0,0.9993698802772527,0.9996848408446265,1587.0
Other Attack,1.0,0.5714285714285714,0.7272727272727273,14.0
PortScan,0.9946740186096056,0.9996221781430056,0.997141959798995,31761.0
SSH-Patator,1.0,0.9991518235793045,0.9995757318625371,1179.0
Web Attack Brute Force,0.792156862745098,0.6710963455149501,0.7266187050359713,301.0
Web Attack XSS,0.39195979899497485,0.6,0.47416413373860183,130.0
accuracy,0.9958484801335276,0.9958484801335276,0.9958484801335276,0.9958484801335276
macro avg,0.8729206928692557,0.9087913329889066,0.8637012567379677,565576.0
weighted avg,0.9981719966881376,0.9958484801335276,0.9968104936262069,565576.0
