,precision,recall,f1-score,support
BENIGN,0.9996917236610898,0.9994122373504453,0.9995519609688651,454265.0
Bot,0.9566666666666667,0.7340153452685422,0.8306801736613604,391.0
DDoS,1.0,0.9998437805116188,0.9999218841542007,25605.0
DoS GoldenEye,0.9970774476376035,0.9941719281204469,0.9956225680933852,2059.0
DoS Hulk,0.9981778346601878,0.9997827267789245,0.9989796361425904,46025.0
DoS Slowhttptest,0.9927206551410374,0.9918181818181818,0.992269213278763,1100.0
DoS slowloris,0.9982698961937716,0.9956859361518551,0.9969762419006479,1159.0
FTP-Patator,1.0,0.998109640831758,0.9990539262062441,1587.0
Other Attack,1.0,0.5714285714285714,0.7272727272727273,14.0
PortScan,0.9946743523072585,0.9996851484525047,0.99717345560755,31761.0
SSH-Patator,1.0,0.9991518235793045,0.9995757318625371,1179.0
Web Attack Brute Force,0.7054263565891473,0.9069767441860465,0.7936046511627907,301.0
Web Attack XSS,0.38461538461538464,0.15384615384615385,0.21978021978021978,130.0
accuracy,0.9989939459948796,0.9989939459948796,0.9989939459948796,0.9989939459948796
macro avg,0.925178485959396,0.8726098629480271,0.8884971069301447,565576.0
weighted avg,0.9989485193639768,0.9989939459948796,0.9989411437196551,565576.0
